dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,161.490455,248.537971,51.254730,25.647498,10.753575,17.798618,5.941799
0.020000,161.976816,248.361483,51.772122,25.869590,11.104579,17.550180,5.928423
0.020000,162.465071,248.176929,52.294093,26.098561,11.448567,17.199439,5.915225
0.020000,162.955245,247.984273,52.820768,26.333743,11.759093,15.526300,5.902222
0.020000,163.447359,247.783488,53.352266,26.574922,12.058960,14.993340,5.889427
0.020000,163.941431,247.574555,53.888700,26.821667,12.337251,13.914561,5.876857
0.020000,164.437479,247.357467,54.430170,27.073523,12.592804,12.777619,5.864524
0.020000,164.935513,247.132225,54.976770,27.330017,12.824702,11.594911,5.852441
0.020000,165.435543,246.898842,55.528584,27.590663,13.032282,10.379024,5.840622
0.020000,165.937576,246.657341,56.085683,27.854966,13.215131,9.142449,5.829076
0.020000,166.441616,246.407758,56.648132,28.122427,13.373078,7.897328,5.817816
0.020000,166.947666,246.150137,57.215983,28.392551,13.506183,6.655233,5.806849
0.020000,167.455726,245.884536,57.789280,28.664845,13.614722,5.426980,5.796187
0.020000,167.965797,245.611021,58.368056,28.938829,13.699172,4.222484,5.785835
0.020000,168.477877,245.329672,58.952337,29.214032,13.760187,3.050734,5.775803
0.020000,168.991967,245.040576,59.542137,29.489998,13.798271,1.904232,5.766095
0.020000,169.508065,244.743834,60.137463,29.766292,13.814695,0.821170,5.756719
0.020000,170.026172,244.439555,60.738313,30.042508,13.810787,-0.195384,5.747679
0.020000,170.546290,244.127858,61.344678,30.318251,13.787185,-1.180124,5.738980
0.020000,171.068424,243.808871,61.956541,30.593139,13.744386,-2.139932,5.730625
0.020000,171.592579,243.482731,62.573878,30.866872,13.686659,-2.886354,5.722619
0.020000,172.118764,243.149583,63.196660,31.139119,13.612368,-3.714534,5.714963
0.020000,172.646990,242.809583,63.824851,31.409547,13.521362,-4.550318,5.707660
0.020000,173.177275,242.462889,64.458411,31.677980,13.421667,-4.984730,5.700713
0.020000,173.709635,242.109671,65.097294,31.944133,13.307637,-5.701510,5.694121
0.020000,174.244095,241.750104,65.741449,32.207767,13.181720,-6.295844,5.687888
0.020000,174.780682,241.384367,66.390824,32.468780,13.050628,-6.554622,5.682012
0.020000,175.319426,241.012648,67.045363,32.726928,12.907402,-7.161288,5.676496
0.020000,175.860365,240.635138,67.705005,32.982112,12.759197,-7.410249,5.671339
0.020000,176.403538,240.252035,68.369690,33.234232,12.606010,-7.659354,5.666541
0.020000,176.948991,239.863540,69.039352,33.483104,12.443613,-8.119853,5.662103
0.020000,177.496775,239.469858,69.713927,33.728767,12.283151,-8.023096,5.658024
0.020000,178.046943,239.071200,70.393349,33.971062,12.114755,-8.419769,5.654304
0.020000,178.599556,238.667780,71.077548,34.209985,11.946113,-8.432100,5.650943
0.020000,179.154678,238.259813,71.766458,34.445506,11.776051,-8.503131,5.647940
0.020000,179.712378,237.847522,72.460009,34.677556,11.602518,-8.676647,5.645295
0.020000,180.272729,237.431129,73.158133,34.906199,11.432139,-8.518939,5.643006
0.020000,180.835810,237.010861,73.860761,35.131364,11.258282,-8.692845,5.641075
0.020000,181.401703,236.586948,74.567823,35.353110,11.087300,-8.549115,5.639500
0.020000,181.970490,236.159624,75.279247,35.571209,10.904955,-9.117268,5.638281
0.020000,182.542234,235.729148,75.994929,35.784111,10.645065,-12.994492,5.637418
0.020000,183.117003,235.295776,76.714770,35.992034,10.396180,-12.444212,5.636910
0.020000,183.694894,234.859751,77.438701,36.196539,10.225247,-8.546676,5.636756
0.020000,184.276007,234.421317,78.166654,36.397668,10.056438,-8.440443,5.636957
0.020000,184.860444,233.980722,78.898563,36.595446,9.888893,-8.377270,5.637512
0.020000,185.448310,233.538216,79.634361,36.789906,9.723005,-8.294389,5.638421
0.020000,186.039714,233.094052,80.373982,36.981062,9.557788,-8.260821,5.639684
0.020000,186.634765,232.648488,81.117362,37.168972,9.395507,-8.114098,5.641300
0.020000,187.233573,232.201783,81.864434,37.353607,9.231775,-8.186599,5.643270
0.020000,187.836252,231.754202,82.615134,37.535012,9.070249,-8.076293,5.645593
0.020000,188.442914,231.306011,83.369398,37.713199,8.909338,-8.045511,5.648268
0.020000,189.053672,230.857481,84.127161,37.888120,8.746034,-8.165209,5.651297
0.020000,189.668639,230.408888,84.888357,38.059821,8.585038,-8.049805,5.654679
0.020000,190.287926,229.960510,85.652922,38.228235,8.420714,-8.216199,5.658414
0.020000,190.911644,229.512632,86.420788,38.393314,8.253972,-8.337101,5.662501
0.020000,191.539901,229.065542,87.191889,38.555072,8.087875,-8.304872,5.666940
0.020000,192.172803,228.619532,87.966157,38.713371,7.914954,-8.646054,5.671731
0.020000,192.810452,228.174900,88.743520,38.868139,7.738408,-8.827304,5.676873
0.020000,193.452945,227.731949,89.523906,39.019326,7.559333,-8.953704,5.682365
0.020000,194.100376,227.290987,90.307242,39.166766,7.372030,-9.365185,5.688207
0.020000,194.752830,226.852325,91.093448,39.310308,7.177099,-9.746563,5.694397
0.020000,195.410387,226.416282,91.882444,39.449816,6.975388,-10.085542,5.700934
0.020000,196.073121,225.983181,92.674147,39.585151,6.766725,-10.433125,5.707816
0.020000,196.741095,225.553348,93.468467,39.716017,6.543310,-11.170771,5.715041
0.020000,197.414362,225.127117,94.265312,39.842233,6.310802,-11.625400,5.722606
0.020000,198.092965,224.704824,95.064583,39.963549,6.065832,-12.248488,5.730509
0.020000,198.776937,224.286810,95.866177,40.079695,5.807291,-12.927051,5.738746
0.020000,199.466295,223.873419,96.669984,40.190376,5.534060,-13.661572,5.747314
0.020000,200.161044,223.464999,97.475889,40.295244,5.243401,-14.532946,5.756208
0.020000,200.861174,223.061902,98.283769,40.393976,4.936578,-15.341122,5.765422
0.020000,201.566658,222.664479,99.093493,40.486207,4.611544,-16.251718,5.774952
0.020000,202.277454,222.273084,99.904924,40.571553,4.267320,-17.211183,5.784792
0.020000,202.993500,221.888071,100.717916,40.649614,3.903032,-18.214410,5.794934
0.020000,203.714715,221.509793,101.532316,40.719972,3.517930,-19.255100,5.805371
0.020000,204.441001,221.138600,102.347960,40.782201,3.111416,-20.325709,5.816094
0.020000,205.172237,220.774840,103.164677,40.835862,2.683067,-21.417425,5.827095
0.020000,205.908282,220.418857,103.982287,40.880515,2.232664,-22.520161,5.838364
0.020000,206.648974,220.070987,104.800602,40.915720,1.760212,-23.622584,5.849890
0.020000,207.394128,219.731561,105.619421,40.940949,1.261491,-24.936092,5.861663
0.020000,208.143538,219.400897,106.438539,40.955893,0.747160,-25.716501,5.873669
0.020000,208.896978,219.079306,107.257741,40.960107,0.210720,-26.822004,5.885898
0.020000,209.654197,218.767085,108.076803,40.953093,-0.350688,-28.070440,5.898334
0.020000,210.414923,218.464518,108.895492,40.934457,-0.931793,-29.055217,5.910964
0.020000,211.178870,218.171869,109.713573,40.904076,-1.519075,-29.364118,5.923774
0.020000,211.945720,217.889391,110.530796,40.861126,-2.147520,-31.422245,5.936749
0.020000,212.715150,217.617312,111.346914,40.805925,-2.760020,-30.624976,5.949872
0.020000,213.486810,217.355844,112.161669,40.737724,-3.410083,-32.503181,5.963128
0.020000,214.260336,217.105174,112.974798,40.656445,-4.063926,-32.692138,5.976500
0.020000,215.035355,216.865466,113.786040,40.562114,-4.716544,-32.630921,5.989972
0.020000,215.811476,216.636863,114.595128,40.454412,-5.385119,-33.428747,6.003526
0.020000,216.588299,216.419478,115.401794,40.333272,-6.057003,-33.594200,6.017145
0.020000,217.258234,216.240592,116.095201,34.670372,-283.145005,-13854.400074,6.025553
0.020000,217.925988,216.066239,116.785342,34.507039,-8.166638,13748.918321,6.030012
0.020000,218.590675,215.895833,117.471525,34.309159,-9.893996,-86.367873,6.034425
0.020000,219.252200,215.729329,118.153682,34.107859,-10.064970,-8.548724,6.038791
0.020000,219.910466,215.566681,118.831744,33.903088,-10.238581,-8.680539,6.043109
0.020000,220.565377,215.407843,119.505642,33.694899,-10.409436,-8.542773,6.047379
0.020000,221.216840,215.252767,120.175308,33.483308,-10.579536,-8.504960,6.051601
0.020000,221.864761,215.101404,120.840675,33.268331,-10.748880,-8.467226,6.055774
0.020000,222.509049,214.953707,121.501674,33.049981,-10.917472,-8.429587,6.059898
0.020000,223.149610,214.809625,122.158240,32.828275,-11.085313,-8.392063,6.063972
0.020000,223.786354,214.669108,122.810304,32.603227,-11.252407,-8.354671,6.067997
0.020000,224.419191,214.532106,123.457801,32.374852,-11.418755,-8.317432,6.071972
0.020000,225.048032,214.398567,124.100665,32.143184,-11.583417,-8.233084,6.075897
0.020000,225.672789,214.268440,124.738829,31.908209,-11.748735,-8.265926,6.079772
0.020000,226.293373,214.141672,125.372228,31.669960,-11.912442,-8.185338,6.083596
0.020000,226.909697,214.018212,126.000797,31.428445,-12.075752,-8.165496,6.087369
0.020000,227.521677,213.898005,126.624471,31.183690,-12.237733,-8.099046,6.091092
0.020000,228.129227,213.781000,127.243185,30.935689,-12.400070,-8.116830,6.094764
0.020000,228.732262,213.667144,127.856874,30.684469,-12.561013,-8.047158,6.098384
0.020000,229.330699,213.556381,128.465475,30.430041,-12.721394,-8.019042,6.101954
0.020000,229.924455,213.448660,129.068923,30.172416,-12.881215,-7.991092,6.105472
0.020000,230.513452,213.343926,129.667160,29.911847,-13.028469,-7.362700,6.108939
0.020000,231.097649,213.242119,130.260161,29.650044,-13.090140,-3.083501,6.112355
0.020000,231.677030,213.143174,130.847931,29.388482,-13.078139,0.600048,6.115721
